"Entity","Year","pov_rate_20","pov_rate_10","pov_rate_5","pov_rate_2","number_in_poverty_20","number_in_poverty_10","number_in_poverty_5","number_in_poverty_2","poor_share_in_world_pop_20","poor_share_in_world_pop_10","poor_share_in_world_pop_5","poor_share_in_world_pop_2"
"Latin America and the Caribbean","1990","66.4224101805256","41.5653789483166","20.357330693464","5.42421052777546","292477798.747908","183024833.123122","89639434.2425299","23884426.2169537","5.58057983950577","3.49217854561383","1.71035210775","0.455723299324263"
"Middle East and North Africa","1990","78.9456516480911","59.2317326990718","36.4190372751357","12.6392629097498","211272774.027588","158514778.414602","97463899.1749727","33824942.6138143","4.03115924840175","3.02451803340707","1.85964566590669","0.645391867797081"
"South Asia excl. India","1990","97.1968816976801","88.0580175250019","67.326279600551","28.4509927965548","254712204.239307","230763079.565669","176433901.795612","74558102.7027956","4.85999893988232","4.4030411711229","3.3664212448979","1.42259496822063"
"Sub-Saharan Africa","1990","95.9031414063409","89.3223512008824","76.4890155253326","50.3411928931041","479032355.199016","446161571.354359","382059572.988415","251452244.853339","9.14010675455999","8.51292057353176","7.28983177402479","4.79779776186191"
"Western Europe","1990","4.38205078962009","0.33296784422288","0.0141965185994232","0.0000968969829308742","16552890.1142346","1257762.72380283","53626.355253019","366.021570232572","0.315834997570778","0.0239985575978223","0.00102320982403562","0.00000698382100935017"
"Western Offshoots","1990","2.53587777498751","0.159448591275217","0.00420581776316717","0.00000865890727188697","7564345.8913435","475623.986372582","12545.6599802842","25.8289142685298","0.144330394857301","0.00907507387192812","0.00023937562939474","0.000000492824819047264"
"China","2000","82.5505111507273","60.460987474145","34.2387652855365","9.79530134772429","1038816457.82586","760841670.984515","430860964.740844","123264170.112776","17.1850008126826","12.5865013359111","7.12767493568703","2.03914257191888"
"E. Asia and Pacific excl. China","2000","59.4438344691101","43.5332599821826","25.4190123392959","7.77992304531728","446608661.626561","327070606.237336","190976089.986611","58451495.4302342","7.38818696525701","5.41068500758715","3.15929174677457","0.966955219956158"
"Eastern Europe and Central Asia","2000","51.8080383480497","22.4620825973502","6.70454734952405","0.950137120244239","246427006.724032","106841794.3576","31890447.6499051","4519365.21792653","4.076608797364","1.76746942063908","0.527559382267986","0.0747632503872939"
"India","2000","94.3830096666557","77.488131732857","46.902345460349","11.9288134195357","950729494.673189","780545699.758242","472452016.056642","120160130.456325","15.7277900398251","12.9124624312891","7.81571009847044","1.98779286175897"
"Latin America and the Caribbean","2000","59.4297306451291","35.4058002903745","16.6079755246834","4.19813452269337","307050240.648431","182927961.838252","85806932.4255843","21690123.8062928","5.07949079486203","3.02615264628363","1.41949253148495","0.358816798126633"
"Middle East and North Africa","2000","69.4183611626391","48.2451057009814","28.0622754192879","11.1144578319329","233397025.533802","162208729.485726","94350421.1692215","37368807.833368","3.86105557267599","2.68339717477182","1.56082631561639","0.618187157266868"
"South Asia excl. India","2000","94.8845709518321","81.4045554659544","55.599638637131","19.4936572506092","306739994.435954","263162204.773673","179740843.796958","63018510.3500519","5.07435843353547","4.3534569257479","2.97342858158756","1.04250673294707"
"Sub-Saharan Africa","2000","95.1235761095115","87.841421452173","74.5055066953111","48.820581089779","617097077.766756","569855410.215111","483341063.694625","316714732.115345","10.2085538817132","9.42704133524598","7.99584614762366","5.23936917613131"
"Western Europe","2000","1.84919557971387","0.106650986844922","0.00308272486496281","0.0000109356652510222","7231686.13749863","417082.147274174","12055.6737839074","42.7663248104777","0.119632810217579","0.00689973381328885","0.000199435388429909","0.000000707477553986445"
"Western Offshoots","2000","1.82432165940324","0.135378317203847","0.00572452686233786","0.0000488010103054594","6134555.2279923","455229.898345517","19249.5802536404","164.100717303653","0.101483121281243","0.00753080692367745","0.000318443214689674","0.00000271469607453773"
"China","2005","72.9118419870894","47.5747817705797","23.2143395807182","5.27461747006521","946574343.005288","617637225.597463","301379002.889695","68477457.574248","14.7137333870326","9.60067165828181","4.68469310386108","1.0644267523356"
"E. Asia and Pacific excl. China","2005","56.3283422479926","38.554043135189","20.2885386953343","5.1325874314078","447057210.935685","305989175.368035","161022624.865551","40735447.3857341","6.94914314872924","4.75635451029554","2.5029666069648","0.633199617826361"
"Eastern Europe and Central Asia","2005","36.4866757702795","14.7229762737165","4.80395312035011","0.746743228541381","173496332.488225","70008635.5600985","22843085.324452","3550808.85630798","2.69686031395577","1.08822767702617","0.355077305533251","0.0551944548318884"
"India","2005","90.8872291862801","69.2657928053813","37.1816644012509","7.71026991286398","992550346.030026","756429558.173871","406049058.793453","84201390.4320154","15.4283932082144","11.7580863323474","6.31170455579211","1.3088425846201"
"Latin America and the Caribbean","2005","53.1812565669313","28.8181054433078","12.3183170734268","2.97395077803785","293177099.389613","158868163.506813","67908295.1792166","16394766.1096593","4.55720114059571","2.46947724581807","1.05557958275373","0.254843393192348"
"Middle East and North Africa","2005","61.2966525073559","39.9325859106049","21.7554027670664","6.8830639444026","228766462.755753","149033202.528687","81193773.7750238","25688420.6081838","3.55598983403238","2.31660072346846","1.26209161366005","0.399305743659545"
"South Asia excl. India","2005","91.8814123132448","73.6353168949061","45.1214707984777","13.1150770531286","326614531.606384","261754406.378998","160395097.106181","46620689.0038384","5.07695900897667","4.06876076538667","2.49321219494998","0.724680943859484"
"Sub-Saharan Africa","2005","93.3533762656577","84.3671999046253","69.3405972365816","43.2243015451471","690449039.130906","623986559.870601","512848604.409536","319690392.172032","10.7324724721049","9.69936692967856","7.97181720480198","4.96932885575676"
"Western Europe","2005","1.19490286083986","0.0587250417420503","0.00173157224054479","0.00000669184228463741","4798299.72410299","235818.626621047","6953.37075202128","26.8720295518814","0.0745856924743725","0.00366561002359526","0.000108084530435937","0.000000417703988404676"
"Western Offshoots","2005","1.54820701163059","0.118269538228806","0.00564982011682094","0.000068900867398785","5459782.99065551","417079.891954647","19924.2036383714","242.980286899163","0.0848679154143438","0.00648316994503492","0.000309705648003502","0.00000377693224642897"
"China","2010","60.0393911429689","34.1210244651932","14.1704751615303","2.55982199980553","799338636.739297","454272647.689062","188659612.996295","34080369.3819509","11.6962612803443","6.64710966751128","2.7605473140328","0.498678390485398"
"E. Asia and Pacific excl. China","2010","52.0018783431821","33.3842660571494","16.3688113111759","3.89772935200596","432727390.407389","277803163.882642","136211099.068593","32434487.0751953","6.33185034319454","4.06493348367625","1.99309845760493","0.474595143896646"
